title,description,publishedAt,url,urlToImage,search_term
"Microsoft Surface Laptop Studio 2 Review: Fancy, Expensive, and Very Hot","Microsoft's most ambitious Surface yet is a well-designed graphics powerhouse, but all that brawn comes with trade-offs in size, weight, cost, battery life, and lap feel.",03-10-23,https://www.wired.com/review/microsoft-surface-laptop-studio-2/,"https://media.wired.com/photos/651b26f93d1ce5e0097f0d6c/191:100/w_1280,c_limit/Microsoft-Surface-Laptop-Studio-2-Featured-Gear.jpg", Microsoft Copilot
"INTERNATIONAL SOCIETY OF HAIR RESTORATION SURGERY HOSTS 31st WORLD CONGRESS, NOVEMBER 1-4, 2023, IN DELHI, INDIA","""The Hair Follicle – From Beginning to End"": The world's premier educational gathering of hair restoration physicians CHICAGO, Oct. 3, 2023 /PRNewswire/ -- Many of the world's most renowned hair restoration experts will convene in Delhi, India, to present the…",03-10-23,https://www.prnewswire.com/news-releases/international-society-of-hair-restoration-surgery-hosts-31st-world-congress-november-1-4-2023-in-delhi-india-301944878.html,https://i.ytimg.com/vi/8SJRxGBzuJI/hqdefault.jpg, GPT-4
11 practical and responsible ways I have improved my journalism with AI,"Generative artificial intelligence accelerated its creep into journalism this summer — and I use the term “creep” deliberately — when Google shopped a mysterious robot-writing tool to executives at several […]
The post 11 practical and responsible ways I have…",03-10-23,https://www.poynter.org/commentary/2023/how-to-use-chatgpt-journalism/,https://www.poynter.org/wp-content/uploads/2023/09/chatgpt-journalism-uses.png, GPT-4
テレビ東京の育成できる“AI Vtuber”事業 「いしとほし」7名のビジュアルを発表！,"[テレビ東京グループ]
[画像1: https://prtimes.jp/i/2734/1687/resize/d2734-1687-25c77d78e3709de7ff58-0.jpg ]

[画像2: https://prtimes.jp/i/2734/1687/resize/d2734-1687-4cfb12f599c09e09a9b5-1.png ]

10月10日（火）深夜にテ...",03-10-23,https://prtimes.jp/main/html/rd/p/000001687.000002734.html,https://prtimes.jp/i/2734/1687/ogp/d2734-1687-25c77d78e3709de7ff58-0.jpg, GPT-4
Canadian Copper Announces New Mineral Resource Estimate at Murray Brook: +21 Million Tonnes Containing +670 Million In-Situ Pounds Copper Equivalent,"(marketscreener.com) Canadian Copper Inc. is pleased to announce a new Mineral Resource Estimate for the Murray Brook Project located in New Brunswick, Canada.""The pending 100% acquisition of an advanced stage, large, and high quality base metal deposit in a …",03-10-23,https://www.marketscreener.com/quote/stock/CANADIAN-COPPER-INC-141526828/news/Canadian-Copper-Announces-New-Mineral-Resource-Estimate-at-Murray-Brook-21-Million-Tonnes-Containi-44971683/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png, GPT-4
AI Algorithms Are Biased Against Skin With Yellow Hues,"Google, Meta, and others test their algorithms for bias using standardized skin tone scales. Sony says those tools ignore the yellow and red hues at work in human skin color.",03-10-23,https://www.wired.com/story/ai-algorithms-are-biased-against-skin-with-yellow-hues/,"https://media.wired.com/photos/651b55be590959774f11c2e7/191:100/w_1280,c_limit/Sony-Skin-Tone-AI-Bias-Business-Fig1@1300x-100.jpg", Azure Open AI
Meta trained its AI assistant using your public Facebook and Instagram posts,"Speaking in an interview with Reuters at Meta's Connect conference last week, Nick Clegg, the company's president of global affairs, said ""We've tried to exclude datasets that have a heavy preponderance of personal information."" The former UK Deputy Prime Min…",03-10-23,https://www.techspot.com/news/100357-meta-trained-ai-assistant-using-public-facebook-instagram.html,https://www.techspot.com/images2/news/bigimage/2023/07/2023-07-04-image.jpg, XAI
Microsoft ships Java 21 builds,"Hot on the heels of Oracle’s release of the Java 21 platform, Microsoft now is offering its own build of the open source OpenJDK 21, at no cost.
Available from learn.microsoft.com as of September 28, the Microsoft Build of OpenJDK 21 is available for Linux, …",03-10-23,https://www.infoworld.com/article/3707711/microsoft-ships-java-21-builds.html,"https://images.idgesg.net/images/article/2018/03/21_number_twenty-one_lyndsey_b_cc0_via_unsplash_1200x800-100753717-large.jpg?auto=webp&quality=85,70", Azure Open AI
Learnings From Building the ML Platform at Mailchimp,"Mikiko Bazeley talks about buildind ML platform at Mailchimp, including success stories, team structures, generative AI use cases, and more.",03-10-23,https://neptune.ai/blog/learnings-from-building-ml-platform-at-mailchimp,https://neptune.ai/wp-content/uploads/2022/07/blog_feature_image_032094_0_4_7_0.jpg, Azure Open AI
UK IaaS market: Deeper probe by competition regulator lands soon,"Ofcom to refer findings to CMA – which insiders say will home in on egress fees, interoperability and licensing
The Reg can reveal that UK's comms regulator Ofcom is expected to refer the findings of its six-month inquiry into the health of Britain's cloud co…",03-10-23,https://www.theregister.com/2023/10/03/uk_iaas_market_cma_probe/,https://regmedia.co.uk/2018/03/23/cloud_shutterstock.jpg, Azure Open AI
Going Linux #446 · Welcome to Linux – Utilities,We've talked about the applications that are provided with Linux. Now let's talk about some of the utilities that are provided out of the box with many Linux distributions. Command line utilities Graphical utilities System tools System administration Software…,03-10-23,https://goinglinux.com/shownotes.html#glp446,, Azure Open AI
Meta is using your public Facebook and Instagram posts to train its AI,"<table><tr><td>Categories: News
Categories: Personal
Categories: Privacy
Tags: Meta

Tags: Facebook

Tags: Instagram

Tags: X

Tags: xAI

Tags: copyright

Tags: tweets

Social media companies are showing their hand about scraping user data to feed i…",03-10-23,https://www.malwarebytes.com/blog/news/2023/10/meta-is-using-your-public-facebook-and-instagram-posts-to-train-its-ai,https://www.malwarebytes.com/blog/news/2023/10/asset_upload_file75174_283988.png, XAI
XAI Octagon Floating Rate & Alternative Income Term Trust Declares its Monthly Common Shares Distribution and Quarterly Preferred Shares Dividend,"(marketscreener.com) 
XAI Octagon Floating Rate & Alternative Income Term Trust has declared its regular monthly distribution of $0.085 per share of the Trust’s common shares . The Trust also declared preferred dividends for the quarter of $0.40625 per share …",02-10-23,https://www.marketscreener.com/quote/stock/XAI-OCTAGON-FLOATING-RATE-111319129/news/XAI-Octagon-Floating-Rate-Alternative-Income-Term-Trust-Declares-its-Monthly-Common-Shares-Distrib-44967253/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png, XAI
